combination_id,user_input,style,notes,ai_recommendation,ai_rationale,human_decision,human_edit
cb-01,"Trace codes là gì vậy ạ?","ngắn, tự nhiên","khái niệm trực tiếp; không thêm bối cảnh",Keep,"tự nhiên, đúng intent và không làm case dễ hơn",,
cb-01,"Em thấy slide nhắc trace codes mà vẫn chưa hiểu nó dùng để làm gì trong lúc review output.","dài, hơi vòng","giữ intent hỏi khái niệm và ứng dụng cơ bản",Rewrite,"cụm 'thấy slide' hơi chung; nên viết tự nhiên hơn nhưng giữ intent",,
cb-02,"Vibe check với offline eval khác nhau chỗ nào?","ngắn, hơi cộc","so sánh hai khái niệm; câu rõ",Keep,"ngắn nhưng đủ phân biệt combination",,
cb-02,"Em đang hơi lẫn giữa việc thử vài câu xem có ổn không với chạy một bộ eval trước khi release, hai cái này khác nhau thế nào ạ?","dài, nói như học viên","không thêm tiêu chí ngoài combination",Keep,"cách diễn đạt đời thường và giữ nguyên intent so sánh",,
cb-03,"Muốn làm input grid thì bắt đầu từ đâu?","ngắn","áp dụng trực tiếp; giữ câu rõ",Keep,"câu áp dụng trực tiếp, không gợi sẵn đáp án",,
cb-03,"Nhóm em cứ nghĩ ra câu hỏi rồi ghi vào dataset thôi, nhưng thầy bảo phải có input grid trước; giờ tụi em nên chia các ô kiểu gì?","dài, đời thường","giữ intent thiết kế grid; không cung cấp sẵn đáp án",Keep,"tình huống tự nhiên và vẫn đúng combination",,
cb-04,"Nhìn confusion matrix thì biết judge đang sai kiểu gì?","ngắn","đọc metric; nhiều khái niệm liên quan",Keep,"đúng intent đọc metric, câu ngắn tự nhiên",,
cb-04,"Judge bắt output tốt khá ổn mà hình như vẫn cho qua nhiều câu trả lời xấu, em phải đọc các ô trong confusion matrix ra sao?","dài, có tình huống","giữ rủi ro false pass; không thêm con số",Keep,"giữ đúng near-miss và không thêm số liệu",,
cb-05,"Đặt release gate cho tutor kiểu gì mới hợp lý?","ngắn, trực diện","quyết định release; câu rõ",Keep,"đúng intent quyết định release",,
cb-05,"Our team has an overall pass rate, but how should we set a release gate for high-risk cases without treating them like normal questions?","English, natural PM question","giữ intent gate theo rủi ro; không chốt ngưỡng hộ user",Keep,"câu tiếng Anh tự nhiên, không đổi combination hoặc thêm dữ kiện",,
cb-06,"Eval RAG thì tách retrieval với answer ra sao?","ngắn, kỹ thuật","tổng hợp nhiều section; intent rõ",Keep,"đúng hai lớp cần phân tích",,
cb-06,"Nếu câu trả lời sai thì làm sao biết do tìm nhầm tài liệu hay do model đọc đúng tài liệu mà vẫn trả lời sai?","tự nhiên, dạng tình huống","giữ hai lớp retrieval/answer",Keep,"diễn đạt tự nhiên và không gợi lời giải",,
cb-07,"Pass rate tổng tăng rồi thì đã ổn chưa?","ngắn, thiếu giả định","cố ý thiếu slice/chi tiết",Keep,"giữ đúng độ thiếu thông tin",,
cb-07,"Báo cáo tuần này nhìn số tổng đẹp hơn nhưng một nhóm câu lại tụt khá mạnh, em nên tin chỉ số nào để quyết định?","dài, near-miss","giữ intent đọc slice; không thêm số cụ thể",Keep,"tình huống PM thực tế và không thêm con số",,
cb-08,"Agent nhiều bước thì chấm mỗi câu trả lời cuối có đủ không?","ngắn","kiến trúc multi-step; câu rõ",Keep,"đúng intent multi-step",,
